path,backend,d,rounds,basis,logical_states,n_chains,shots
ibm_pittsburgh/d9_r7/job_2,ibm_pittsburgh,9,7,X,0;1,6,2048
ibm_pittsburgh/d9_r7/job_3,ibm_pittsburgh,9,7,X,0;1,6,8192
ibm_pittsburgh/d9_r7/job_4,ibm_pittsburgh,9,7,X,0;1,4,8192
ibm_pittsburgh/d9_r7/job_5,ibm_pittsburgh,9,7,Z,0;1,5,2048
ibm_pittsburgh/d9_r7/job_6,ibm_pittsburgh,9,7,Z,0;1,5,8192
ibm_pittsburgh/d9_r7/job_7,ibm_pittsburgh,9,7,Z,0;1,5,8192
ibm_pittsburgh/d9_r9/job_1,ibm_pittsburgh,9,9,X,0;1,6,2048
ibm_pittsburgh/d9_r9/job_2,ibm_pittsburgh,9,9,X,0;1,5,2048
ibm_pittsburgh/d9_r9/job_3,ibm_pittsburgh,9,9,X,0;1,5,8192
ibm_pittsburgh/d9_r9/job_4,ibm_pittsburgh,9,9,X,0;1,5,8192
ibm_pittsburgh/d9_r9/job_5,ibm_pittsburgh,9,9,Z,0;1,4,8192
ibm_pittsburgh/d9_r9/job_6,ibm_pittsburgh,9,9,Z,0;1,4,8192
ibm_pittsburgh/d9_r9/job_7,ibm_pittsburgh,9,9,Z,0;1,6,2048
ibm_pittsburgh/d9_r9/job_8,ibm_pittsburgh,9,9,Z,0;1,6,8192
ibm_pittsburgh/d9_r9/job_9,ibm_pittsburgh,9,9,Z,0;1,4,8192
